12      11.3 1.41
14      8.7  0.31
16.95   6.0  1.1
21.93   3.2  0.11
27.48   2.25 0.43 
30.5    1.72 0.16
34.6    1.31 0.08
38.14   1.09 0.07
43.47   8.43E-1 0.99E-1
